SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIPB013BV1,1,1,3.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,4.00,1989,8.50,Yes,100
MUTRIPB013BV1,1,2,10.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,11.00,1852,15.50,Yes,100
MUTRIPB013BV1,1,3,17.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,18.00,1998,22.50,Yes,100
MUTRIPB013BV1,1,4,24.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,25.00,1845,29.50,No,75
MUTRIPB013BV1,1,5,31.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,32.00,1908,36.50,Yes,80
MUTRIPB013BV1,1,6,38.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,39.00,1955,43.50,Yes,83
MUTRIPB013BV1,1,7,45.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,46.00,1747,50.50,No,71
MUTRIPB013BV1,1,8,52.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,53.00,1157,57.50,No,63
MUTRIPB013BV1,1,9,59.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,60.00,1786,64.50,No,56
MUTRIPB013BV1,1,10,66.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,67.00,2229,71.50,Yes,60
MUTRIPB013BV1,1,11,73.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,74.00,2253,78.50,Yes,64
MUTRIPB013BV1,1,12,80.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,81.00,2940,85.50,No,58
MUTRIPB013BV1,1,13,87.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,88.00,2421,92.50,Yes,62
MUTRIPB013BV1,1,14,94.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,95.00,1325,99.50,No,57
MUTRIPB013BV1,1,15,101.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,102.00,989,106.50,Yes,60
MUTRIPB013BV1,1,16,108.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,109.00,1051,113.50,No,56
MUTRIPB013BV1,1,17,115.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,116.00,2237,120.50,No,53
MUTRIPB013BV1,1,18,122.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,123.00,3307,127.50,Yes,56
MUTRIPB013BV1,1,19,129.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,130.00,3068,134.50,Yes,58
MUTRIPB013BV1,1,20,136.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,137.00,1348,141.50,Yes,60
MUTRIPB013BV1,1,21,143.00,1,AngryA,HappyA,AngryA,Left,AngryA,Left,144.00,1276,148.50,Yes,62
MUTRIPB013BV1,1,22,150.00,1,HappyA,AngryA,HappyA,Left,None,None,151.00,.,155.50,No,59
MUTRIPB013BV1,1,23,157.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,158.00,747,162.50,No,57
MUTRIPB013BV1,1,24,164.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,165.00,1388,169.50,Yes,58
MUTRIPB013BV1,1,25,171.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,172.00,2155,176.50,No,56
MUTRIPB013BV1,1,26,178.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,179.00,1083,183.50,Yes,58
MUTRIPB013BV1,1,27,185.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,186.00,3067,190.50,No,56
MUTRIPB013BV1,1,28,192.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,193.00,1620,197.50,Yes,57
MUTRIPB013BV1,1,29,199.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,200.00,1547,204.50,No,55
MUTRIPB013BV1,1,30,206.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,207.00,1211,211.50,Yes,57
MUTRIPB013BV1,1,31,216.00,2,NeutralA,NeutralB,NeutralA,Left,None,None,217.00,.,221.50,No,00
MUTRIPB013BV1,1,32,223.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,224.00,563,228.50,Yes,50
MUTRIPB013BV1,1,33,230.00,2,NeutralB,NeutralA,NeutralA,Right,NeutralA,Right,231.00,955,235.50,Yes,67
MUTRIPB013BV1,1,34,237.00,2,NeutralA,NeutralB,NeutralB,Right,NeutralA,Left,238.00,579,242.50,No,50
MUTRIPB013BV1,1,35,244.00,2,NeutralA,NeutralB,NeutralA,Left,NeutralA,Left,245.00,971,249.50,Yes,60
