SubjectID,Visit,TrialNo,TimeAtStartOfTrial,BlockNo,LeftFace,RightFace,WinningFace,WinningSide,ChosenFace,ChosenSide,FaceOnset,RT,FeedbackOnset,Rewarded,PercentRewardedInBlock
MUTRIP14,1,1,3.00,1,AngryA,HappyA,HappyA,Right,HappyA,Right,4.00,1722,8.50,Yes,100
MUTRIP14,1,2,10.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,11.00,1127,15.50,No,50
MUTRIP14,1,3,17.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,18.00,1823,22.50,No,33
MUTRIP14,1,4,24.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,25.00,1242,29.50,No,25
MUTRIP14,1,5,31.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,32.00,1447,36.50,No,20
MUTRIP14,1,6,38.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,39.00,1647,43.50,No,17
MUTRIP14,1,7,45.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,46.00,2231,50.50,No,14
MUTRIP14,1,8,52.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,53.00,2063,57.50,Yes,25
MUTRIP14,1,9,59.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,60.00,1524,64.50,No,22
MUTRIP14,1,10,66.00,1,AngryA,HappyA,AngryA,Left,HappyA,Right,67.00,2023,71.50,No,20
MUTRIP14,1,11,73.00,1,AngryA,HappyA,HappyA,Right,AngryA,Left,74.00,1805,78.50,No,18
MUTRIP14,1,12,80.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,81.00,1279,85.50,No,17
MUTRIP14,1,13,87.00,1,HappyA,AngryA,HappyA,Left,AngryA,Right,88.00,1359,92.50,No,15
MUTRIP14,1,14,94.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,95.00,1887,99.50,Yes,21
MUTRIP14,1,15,101.00,1,HappyA,AngryA,AngryA,Right,HappyA,Left,102.00,1695,106.50,No,20
MUTRIP14,1,16,108.00,1,HappyA,AngryA,HappyA,Left,HappyA,Left,109.00,1247,113.50,Yes,25
